gene	n.umis	n.tot	efficiency	depth	loss	n.obs
FBtr0112801-M	6	6.93	0.488	5.22	0.134	6
FBtr0112805-M	1	1.09	0.559	5.39	0.0804	1
FBtr0112809-M	1	1.09	0.559	5.39	0.0804	1
FBtr0112813-M	100	106	0.637	5.68	0.0566	100
FBtr0113026	1	1.09	0.559	5.39	0.0804	1
FBtr0113028-M	16	17.9	0.568	5.04	0.106	16
FBtr0113031	6	6.35	0.614	5.72	0.0544	6
FBtr0113033-M	4	4.26	0.597	5.53	0.0621	4
FBtr0113035	1	1.09	0.559	5.39	0.0804	1
FBtr0114586	29	32.8	0.504	5.06	0.116	29
FBtr0273273	23	24.2	0.691	5.37	0.0514	23
FBtr0273339-M	5	5.55	0.499	5.53	0.0991	5
FBtr0273342-M	1	1.09	0.559	5.39	0.0804	1
FBtr0273420-M	1	1.09	0.559	5.39	0.0804	1
FBtr0289952	6	6.36	0.614	5.58	0.0563	6
FBtr0290076-M	310	331	0.578	5.78	0.0644	310
FBtr0290078-M	37	38.9	0.698	5.45	0.05	37
FBtr0290229-M	1	1.09	0.559	5.39	0.0804	1
FBtr0290291-M	1	1.09	0.559	5.39	0.0804	1
FBtr0290323-M	2	2.17	0.559	5.39	0.0804	2
FBtr0299780-M	3	3.41	0.546	5.18	0.121	3
FBtr0299823-M	11	11.5	0.649	5.81	0.0447	11
FBtr0300056	3	3.25	0.588	5.3	0.0773	3
FBtr0300183-M	44	54.7	0.282	4.82	0.196	44
FBtr0300185-M	6	6.72	0.532	5.24	0.107	6
FBtr0300273	2	2.17	0.559	5.39	0.0804	2
FBtr0300442-M	40	45	0.444	5.32	0.112	40
FBtr0300868-M	67	70.8	0.619	5.84	0.0532	67
FBtr0301093-M	7	8.33	0.478	5.06	0.16	7
FBtr0301128-M	1	1.09	0.559	5.39	0.0804	1
FBtr0301152-M	30	31.4	0.644	5.86	0.0452	30
FBtr0301163-M	11	12.2	0.499	5.39	0.102	11
FBtr0301171-M	38	39.8	0.573	6.35	0.0461	38
FBtr0301229-M	56	63.1	0.472	5.14	0.112	56
FBtr0301247	38	41.9	0.518	5.32	0.0931	38
FBtr0301330	13	13.6	0.663	5.66	0.0447	13
FBtr0301354-M	4	4.27	0.592	5.56	0.0624	4
FBtr0301496-M	5	5.38	0.594	5.36	0.0701	5
FBtr0301914-M	1	1.09	0.559	5.39	0.0804	1
FBtr0301931-M	112	120	0.599	5.59	0.066	112
FBtr0302029	2	2.17	0.559	5.39	0.0804	2
FBtr0302043-M	1	1.09	0.559	5.39	0.0804	1
FBtr0302285-M	6	6.35	0.614	5.72	0.0544	6
FBtr0302439-M	42	44.8	0.612	5.52	0.0634	42
FBtr0302490-M	1	1.09	0.559	5.39	0.0804	1
FBtr0302948-M	11	11.6	0.651	5.52	0.0503	11
FBtr0303220-M	1	1.09	0.559	5.39	0.0804	1
FBtr0303874	84	87.7	0.642	6.17	0.0423	84
FBtr0304650-M	153	168	0.504	5.45	0.087	153
FBtr0304887-M	63	66.1	0.653	5.86	0.0471	63
